"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e g# B ^A f g# f e ",30,4,"GENESIS","001","001",1,"e g B ^A f g f e ",18
"e rev,f pas,pas,z-q,g# B ^A B z-q,g# f e ",1,1,"GENESIS","001","002",1,"e f g B ^A B g f e ",35
"e f g# B ^A e ",1,1,"GENESIS","001","003",1,"e f g B ^A e ",12
"e c d g# ^A B z-q,f g# f e ",1,1,"GENESIS","001","004",1,"e c d g ^A B f g f e ",24
"e qad,C pas,z-q,g# B ^A e f e g# f e ",1,1,"GENESIS","001","005",1,"e C g B ^A e f e g f e ",28
"e B z-q,f g# B ^A B z-q,f g# e ",3,1,"GENESIS","001","006",1,"e B f g B ^A B f g e ",26
"e B tsi,seg,rev,C pas,pas,pas,B z-q,B z-q,g# B ^A e ",1,1,"GENESIS","001","007",1,"e B C B g B ^A e ",43
"e c d e g# ^A e f e g# f e ",1,1,"GENESIS","001","008",1,"e c d e g ^A e f e g f e ",24
"e B rev,qad,azl,C pas,pas,B z-q,g# ^A e ",1,1,"GENESIS","001","009",1,"e B C B g ^A e ",35
"e qad,C pas,z-q,f g# B ^A f g# e ",1,1,"GENESIS","001","010",1,"e C f g B ^A f g e ",29
"e B rev,e C pas,pas,z-q,C B z-q,B tar,C pas,z-q,f g# ^A e ",1,1,"GENESIS","001","011",1,"e B e C B C f g ^A e ",42
"e qad,azl,t-g,B C pas,pas,z-q,c e d f g# ^A f g# e ",1,1,"GENESIS","001","012",1,"e B C c e d f g ^A f g e ",41
"e f e g# f e ",8,3,"GENESIS","001","013",1,"e f e g f e ",12
"e B rev,C pas,B z-q,z-g,f g# B ^A C pas,B z-q,g# e ",1,1,"GENESIS","001","014",1,"e B C B f g B ^A C B g e ",45
"e C pas,B z-q,g# ^A e ",1,1,"GENESIS","001","015",1,"e C B g ^A e ",23
"e B z-q,f g# ^A C pas,B z-q,C pas,B z-q,g# e ",1,1,"GENESIS","001","016",1,"e B f g ^A C B C B g e ",49
"e f d g# B ^A g# e ",10,1,"GENESIS","001","017",1,"e f d g B ^A g e ",22
"e pas,B z-q,e z-q,f g# B ^A f g# e ",1,1,"GENESIS","001","018",1,"e B e f g B ^A f g e ",28
"e f e g# f e ",8,3,"GENESIS","001","019",1,"e f e g f e ",12
